@relation BOOKKEEPER
@attribute Size numeric
@attribute LocTouched numeric
@attribute LocAdded numeric
@attribute MaxLocAdded numeric
@attribute AvgLocAdded numeric
@attribute nAuth numeric
@attribute nFix numeric
@attribute nR numeric
@attribute ChgSetSize numeric
@attribute Buggy {Si, No}
@data
200,157,145,70,36.25,2,0,4,91,No
227,14,13,13,13,1,0,1,10,Si
707,145,89,43,12.71,3,0,7,67,Si
138,6,4,4,4,1,0,1,10,Si
244,22,13,9,4.33,3,0,3,56,Si
30,20,15,15,15,1,0,1,10,Si
23,51,47,45,15.67,1,0,3,88,Si
122,6,4,4,4,1,0,1,16,No
126,9,5,3,2.5,1,0,2,54,No
175,9,5,5,5,1,0,1,16,No
105,448,105,29,11.67,2,0,9,169,No
132,329,119,45,19.83,2,0,6,122,No
402,807,273,73,30.33,2,0,9,152,No
1015,310,151,85,21.57,2,0,7,104,No
90,7,4,4,4,1,0,1,16,No
90,3,2,2,2,1,0,1,16,No
77,3,2,2,2,1,0,1,16,No
869,641,476,125,34,3,0,14,149,No
74,23,18,15,9,1,0,2,43,No
207,325,190,68,23.75,2,0,8,114,No
91,40,33,29,16.5,2,0,2,29,No
188,11,11,11,11,1,0,1,16,No
795,490,296,126,42.29,2,0,7,94,No
24,51,46,26,11.5,2,0,4,95,Si
56,88,81,63,27,2,0,3,10,No
70,30,28,26,14,1,0,2,31,No
155,39,35,20,11.67,2,0,3,45,No
73,20,13,11,6.5,1,0,2,65,No
55,36,18,11,9,2,0,2,57,No
90,11,5,3,2.5,1,0,2,65,No
160,483,162,96,23.14,2,0,7,146,No
69,51,26,17,13,2,0,2,57,No
111,135,3,2,1,2,0,3,95,No
360,468,51,23,10.2,2,0,5,117,No
24,42,42,25,21,2,0,2,28,No
91,18,11,7,3.67,1,0,3,71,No
52,27,26,18,8.67,2,0,3,67,No
39,7,4,4,4,1,0,1,27,No
