Dataset; #Training; %Training; %DefectTraining; %DefectTesting; Classifier; Balancing; FeatureSelection; TP; FP; TN; FN; Precision; Recall; ROC Area; Kappa
BOOKKEEPER;4;0.9018806;0.256573;0.5;NaiveBayes;NO SAMPLING;Yes;167.0;68.0;112.0;13.0;0.7106382978723405;0.9277777777777778;0.7986574074074074;0.55
BOOKKEEPER;4;0.9018806;0.256573;0.5;IBK;OVERSAMPLING;Yes;50.0;14.0;46.0;10.0;0.78125;0.8333333333333334;0.7644444444444445;0.6000000000000001
BOOKKEEPER;4;0.9018806;0.256573;0.5;RandomForest;OVERSAMPLING;Yes;98.0;28.0;92.0;22.0;0.7777777777777778;0.8166666666666667;0.8246875;0.5833333333333333
BOOKKEEPER;4;0.9018806;0.256573;0.5;NaiveBayes;OVERSAMPLING;Yes;157.0;56.0;124.0;23.0;0.7370892018779343;0.8722222222222222;0.8216512345679012;0.5611111111111111
BOOKKEEPER;4;0.9018806;0.256573;0.5;IBK;UNDERSAMPLING;Yes;40.0;10.0;50.0;20.0;0.8;0.6666666666666666;0.75;0.5
BOOKKEEPER;4;0.9018806;0.256573;0.5;RandomForest;UNDERSAMPLING;Yes;86.0;21.0;99.0;34.0;0.8037383177570093;0.7166666666666667;0.8051041666666666;0.5416666666666667
BOOKKEEPER;4;0.9018806;0.256573;0.5;NaiveBayes;UNDERSAMPLING;Yes;146.0;48.0;132.0;34.0;0.7525773195876289;0.8111111111111111;0.8147222222222222;0.5444444444444445
BOOKKEEPER;4;0.9018806;0.256573;0.5;IBK;SMOTE;Yes;45.0;19.0;41.0;15.0;0.703125;0.75;0.7166666666666667;0.43333333333333335
BOOKKEEPER;4;0.9018806;0.256573;0.5;RandomForest;SMOTE;Yes;97.0;40.0;80.0;23.0;0.708029197080292;0.8083333333333333;0.7758333333333334;0.4750000000000001
BOOKKEEPER;4;0.9018806;0.256573;0.5;NaiveBayes;SMOTE;Yes;157.0;70.0;110.0;23.0;0.6916299559471366;0.8722222222222222;0.7905246913580247;0.4833333333333334
BOOKKEEPER;4;0.9018806;0.256573;0.5;IBK;NO SAMPLING;No;50.0;20.0;40.0;10.0;0.7142857142857143;0.8333333333333334;0.75;0.5
BOOKKEEPER;4;0.9018806;0.256573;0.5;RandomForest;NO SAMPLING;No;107.0;39.0;81.0;13.0;0.7328767123287672;0.8916666666666667;0.7914930555555556;0.5666666666666667
BOOKKEEPER;4;0.9018806;0.256573;0.5;NaiveBayes;NO SAMPLING;No;167.0;68.0;112.0;13.0;0.7106382978723405;0.9277777777777778;0.7986574074074074;0.55
